iter	Passed	Remaining
0	0	661
1	1	696
2	1	664
3	2	643
4	3	616
5	3	622
6	4	632
7	5	647
8	5	635
9	6	655
10	7	656
11	7	640
12	8	635
13	9	635
14	9	635
15	10	628
16	10	626
17	11	620
18	11	611
19	12	619
20	13	622
21	13	617
22	14	612
23	15	613
24	15	619
25	16	620
26	17	619
27	17	614
28	18	611
29	18	609
30	19	607
31	19	602
32	20	601
33	21	602
34	21	598
35	22	596
36	22	594
37	23	592
38	23	589
39	24	586
40	25	585
41	25	583
42	26	581
43	26	580
44	27	578
45	27	576
46	28	575
47	28	574
48	29	572
49	30	571
50	30	573
51	31	572
52	31	571
53	32	570
54	33	569
55	33	566
56	34	565
57	34	564
58	35	563
59	35	561
60	36	560
61	36	559
62	37	560
63	38	560
64	38	558
65	39	555
66	39	555
67	40	554
68	40	553
69	41	552
70	42	552
71	42	551
72	43	550
73	44	551
74	44	551
75	45	550
76	46	558
77	47	557
78	47	558
79	48	558
80	49	557
81	49	557
82	50	553
83	50	554
84	51	554
85	52	553
86	52	552
87	53	550
88	53	549
89	54	549
90	54	548
91	55	548
92	56	546
93	56	546
94	57	546
95	58	546
96	58	544
97	59	544
98	59	544
99	60	543
100	61	543
101	61	543
102	62	543
103	63	544
104	63	544
105	64	543
106	65	543
107	65	542
108	66	541
109	66	541
110	67	540
111	67	538
112	68	538
113	69	538
114	69	538
115	70	538
116	71	536
117	71	536
118	72	535
119	72	534
120	73	533
121	73	531
122	74	530
123	74	529
124	75	530
125	76	529
126	76	527
127	77	526
128	77	525
129	78	525
130	79	524
131	79	523
132	80	521
133	80	521
134	81	520
135	81	519
136	82	519
137	82	518
138	83	517
139	84	516
140	84	515
141	85	513
142	85	512
143	86	512
144	86	511
145	87	510
146	87	509
147	88	509
148	89	508
149	89	508
150	90	508
151	91	507
152	91	506
153	92	505
154	92	504
155	92	503
156	93	501
157	93	500
158	94	500
159	95	499
160	95	497
161	96	497
162	96	495
163	97	494
164	97	493
165	98	492
166	98	491
167	99	490
168	99	489
169	100	488
170	100	487
171	101	486
172	101	486
173	102	485
174	102	484
175	103	483
176	103	482
177	104	481
178	104	480
179	105	479
180	105	478
181	106	477
182	106	476
183	107	476
184	107	475
185	108	474
186	108	473
187	109	472
188	109	471
189	110	470
190	110	469
191	111	468
192	111	467
193	112	466
194	112	465
195	113	465
196	114	464
197	114	464
198	115	463
199	115	463
200	116	462
201	116	461
202	117	461
203	118	460
204	118	460
205	119	460
206	120	460
207	120	459
208	121	459
209	121	458
210	122	457
211	123	457
212	123	456
213	124	456
214	124	455
215	125	454
216	125	454
217	126	453
218	127	453
219	127	452
220	128	452
